 time                    	t_db                     	RH                       	Rad                      	load                     	
  +0.0000000000000000E+00	  +4.8483810424804688E+00	  +8.9000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.0000000000000000E+00	  +8.2006273269653320E+00	  +8.8500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +2.0000000000000000E+00	  +1.0849464416503906E+01	  +8.7500000000000000E+01	  +0.0000000000000000E+00	  +1.1785184773510569E+02	
  +3.0000000000000000E+00	  +1.0600000381469727E+01	  +8.8000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +4.0000000000000000E+00	  +1.0399999618530273E+01	  +8.8500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +5.0000000000000000E+00	  +1.0149999618530273E+01	  +9.0000000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +6.0000000000000000E+00	  +9.8999996185302734E+00	  +9.1500000000000000E+01	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +7.0000000000000000E+00	  +9.7000007629394531E+00	  +9.3000000000000000E+01	  +0.0000000000000000E+00	  -2.3657249379036477E+02	
  +8.0000000000000000E+00	  +9.6875009536743164E+00	  +9.3000000000000000E+01	  +4.3199996948242188E+01	  -2.6814503257087881E+02	
  +9.0000000000000000E+00	  +1.0050000190734863E+01	  +9.1500000000000000E+01	  +1.4039999389648438E+02	  +2.2078775620726910E+03	
  +1.0000000000000000E+01	  +1.0224999427795410E+01	  +9.1000000000000000E+01	  +9.0000000000000000E+01	  +1.5763485138307708E+03	
  +1.1000000000000000E+01	  +1.0250000000000000E+01	  +9.0500000000000000E+01	  +1.5119999694824219E+02	  +2.0022808200089448E+03	
  +1.2000000000000000E+01	  +1.0350000381469727E+01	  +9.0000000000000000E+01	  +2.2319999694824219E+02	  +2.4435373411691062E+03	
  +1.3000000000000000E+01	  +1.0381250381469727E+01	  +9.0500000000000000E+01	  +3.9599998474121094E+01	  +1.8650369129697374E+03	
  +1.4000000000000000E+01	  +1.0193750381469727E+01	  +9.1000000000000000E+01	  +5.4000000000000000E+01	  +1.6950560880836038E+03	
  +1.5000000000000000E+01	  +1.0100000381469727E+01	  +9.1000000000000000E+01	  +1.0800000000000000E+02	  +1.7823973617579115E+03	
  +1.6000000000000000E+01	  +1.0050000190734863E+01	  +9.1000000000000000E+01	  +2.8799999237060547E+01	  +1.4381608025646644E+03	
  +1.7000000000000000E+01	  +9.9499998092651367E+00	  +9.1000000000000000E+01	  +2.5199998855590820E+01	  +1.2591128102436742E+03	
  +1.8000000000000000E+01	  +9.9000005722045898E+00	  +9.0500000000000000E+01	  +0.0000000000000000E+00	  +1.0428761193299194E+03	
  +1.9000000000000000E+01	  +9.8500003814697266E+00	  +9.0000000000000000E+01	  +0.0000000000000000E+00	  -1.1592777384107039E+03	
  +2.0000000000000000E+01	  +9.7500000000000000E+00	  +8.9500000000000000E+01	  +0.0000000000000000E+00	  -7.7474221358309023E+02	
  +2.1000000000000000E+01	  +9.6999998092651367E+00	  +8.9000000000000000E+01	  +0.0000000000000000E+00	  -1.1469184304916444E+03	
  +2.2000000000000000E+01	  +9.6500005722045898E+00	  +8.8500000000000000E+01	  +0.0000000000000000E+00	  -1.3866110592160849E+03	
  +2.3000000000000000E+01	  +9.5500001907348633E+00	  +8.7500000000000000E+01	  +0.0000000000000000E+00	  -1.5905747387203946E+03	
  +2.4000000000000000E+01	  +9.5124998092651367E+00	  +8.6500000000000000E+01	  +0.0000000000000000E+00	  -1.7431437795133122E+03	
  +2.5000000000000000E+01	  +9.3125000000000000E+00	  +8.7000000000000000E+01	  +0.0000000000000000E+00	  +1.4506501891845776E+03	
  +2.6000000000000000E+01	  +8.9500007629394531E+00	  +8.8000000000000000E+01	  +0.0000000000000000E+00	  +8.1485918139163607E+02	
  +2.7000000000000000E+01	  +8.6499996185302734E+00	  +8.8500000000000000E+01	  +0.0000000000000000E+00	  +9.1602336004732706E+02	
  +2.8000000000000000E+01	  +8.3000001907348633E+00	  +8.9500000000000000E+01	  +0.0000000000000000E+00	  +8.4982221602953621E+02	
  +2.9000000000000000E+01	  +7.9500002861022949E+00	  +9.1000000000000000E+01	  +0.0000000000000000E+00	  +7.2105127759435607E+02	
  +3.0000000000000000E+01	  +7.6500000953674316E+00	  +9.2500000000000000E+01	  +0.0000000000000000E+00	  +5.8034498014537451E+02	
  +3.1000000000000000E+01	  +7.2895832061767578E+00	  +9.3500000000000000E+01	  +0.0000000000000000E+00	  +4.0025589259004448E+02	
  +3.2000000000000000E+01	  +7.3927083015441895E+00	  +9.2500000000000000E+01	  +7.9199996948242188E+01	  +6.9554181929848596E+02	
  +3.3000000000000000E+01	  +7.9177083969116211E+00	  +9.0500000000000000E+01	  +1.3319999694824219E+02	  +4.8322230536339366E+03	
  +3.4000000000000000E+01	  +8.0500001907348633E+00	  +9.0000000000000000E+01	  +1.6559999084472656E+02	  +5.1613418391213327E+03	
  +3.5000000000000000E+01	  +8.1499996185302734E+00	  +9.0500000000000000E+01	  +1.6919999694824219E+02	  +5.3149533880015506E+03	
  +3.6000000000000000E+01	  +8.2843751907348633E+00	  +9.0500000000000000E+01	  +3.0600000000000000E+02	  +5.9494862334726922E+03	
  +3.7000000000000000E+01	  +8.5500001907348633E+00	  +8.9500000000000000E+01	  +3.4559997558593750E+02	  +6.3797190101893875E+03	
  +3.8000000000000000E+01	  +8.7506246566772461E+00	  +8.9000000000000000E+01	  +2.8439999389648438E+02	  +6.3563401510904660E+03	
  +3.9000000000000000E+01	  +8.5462503433227539E+00	  +9.0000000000000000E+01	  +3.9599998474121094E+01	  +5.3416600771262629E+03	
  +4.0000000000000000E+01	  +8.3520841598510742E+00	  +9.1000000000000000E+01	  +1.0079999542236328E+02	  +5.2456163186479253E+03	
  +4.1000000000000000E+01	  +8.1916666030883789E+00	  +9.1500000000000000E+01	  +1.8000000000000000E+01	  +4.7911074520833181E+03	
  +4.2000000000000000E+01	  +8.0500001907348633E+00	  +9.2500000000000000E+01	  +0.0000000000000000E+00	  +4.5202173546797248E+03	
  +4.3000000000000000E+01	  +7.9500002861022949E+00	  +9.3000000000000000E+01	  +0.0000000000000000E+00	  +6.9241339608346914E+02	
  +4.4000000000000000E+01	  +7.8000001907348633E+00	  +9.3000000000000000E+01	  +0.0000000000000000E+00	  +4.8911913691238789E+02	
  +4.5000000000000000E+01	  +7.6500000953674316E+00	  +9.2500000000000000E+01	  +0.0000000000000000E+00	  +3.3487651584137780E+02	
  +4.6000000000000000E+01	  +7.5500001907348633E+00	  +9.2000000000000000E+01	  +0.0000000000000000E+00	  +2.2113750741823483E+02	
  +4.7000000000000000E+01	  +7.4499998092651367E+00	  +9.2000000000000000E+01	  +0.0000000000000000E+00	  +1.2070841494496699E+02	
  +4.8000000000000000E+01	  +7.3500003814697266E+00	  +9.2000000000000000E+01	  +0.0000000000000000E+00	  +2.7913389782080849E+01	
  +4.9000000000000000E+01	  +7.2500000000000000E+00	  +9.2000000000000000E+01	  +0.0000000000000000E+00	  +4.9354655224168073E+03	
  +5.0000000000000000E+01	  +7.1937503814697266E+00	  +9.2000000000000000E+01	  +0.0000000000000000E+00	  +5.0678897658495025E+03	
  +5.1000000000000000E+01	  +7.1500000953674316E+00	  +9.2000000000000000E+01	  +0.0000000000000000E+00	  +5.1056998995783815E+03	
  +5.2000000000000000E+01	  +7.0999999046325684E+00	  +9.2000000000000000E+01	  +0.0000000000000000E+00	  +5.1057844513533801E+03	
  +5.3000000000000000E+01	  +7.0499997138977051E+00	  +9.2000000000000000E+01	  +0.0000000000000000E+00	  +5.0892482459268222E+03	
  +5.4000000000000000E+01	  +6.9968748092651367E+00	  +9.2000000000000000E+01	  +0.0000000000000000E+00	  +5.0624738118602791E+03	
  +5.5000000000000000E+01	  +6.9468750953674316E+00	  +9.2500000000000000E+01	  +0.0000000000000000E+00	  +5.0313523258739369E+03	
  +5.6000000000000000E+01	  +6.9625000953674316E+00	  +9.2000000000000000E+01	  +2.1599998474121094E+01	  +5.1061819790936361E+03	
  +5.7000000000000000E+01	  +7.2982144355773926E+00	  +8.9000000000000000E+01	  +1.1519999694824219E+02	  +9.2858647156711359E+03	
  +5.8000000000000000E+01	  +7.5455355644226074E+00	  +8.6500000000000000E+01	  +1.0439999389648438E+02	  +9.5189615818393195E+03	
  +5.9000000000000000E+01	  +7.8999996185302734E+00	  +8.4000000000000000E+01	  +3.5279998779296875E+02	  +1.0700826311090243E+04	
